0x80001000   10 2908 -> 728  entry0
0x80003a84    1 76           sym.hexdump_print.part.0
0x8000467c    7 160          sym.ttyEcho
0x800077c8    9 156          sym.string_to_addr
0x80007b48    1 160          sym.usage
0x80007be8    4 144          sym.printFreeList.isra.0
0x80008a5c   13 412          sym.testItem
0x80008e98    3 88           sym.producer
0x80008ef0    1 72           sym.consumer
0x800098a8    1 64           sym.bigargs
0x80009a2c    4 56           sym.list_check
0x8000a338    4 132          sym.recvthread
0x8000ee5c    3 184          sym.t5
0x8000f2a8    4 108          sym.list_check_1
0x8000f600    3 36           sym.qsort_callback
0x8000f624    3 36           sym.cmp_uints
0x8000fdec    4 160          sym.t4
0x80011af0    1 16           sym.ungetch
0x80011b00    6 84           sym.getch
0x80011e14    1 24           sym.sprntf
0x80011e8c    3 36           sym.sgetch
0x80011eb0    1 20           sym.sungetch
0x8000b818   43 1140         sym.test_libCtype
0x800057a4    1 120          sym.kvprintf
0x800039f0    5 148          sym.getdev
0x800020c0    8 328          sym.resched
0x800034b4    6 184          sym.buffree
0x800024fc    1 80           sym.yield
0x80009d00   17 680          sym.test_semaphore4
0x80002cd4   11 256          sym.signaln
0x8000bc8c   46 1648         sym.test_procQueue
0x800042f8    9 188          sym.loopbackWrite
0x80011c68    1 92           sym.printf
0x800072fc   16 616          sym.xsh_kill
0x80011360   96 1444         sym._doprnt
0x80003890    3 48           sym.control
0x80004c8c    3 84           sym.kputc
0x8000ad60   37 1320         sym.test_deltaQueue
0x8000237c    3 108          sym.queinit
0x80002bd8    4 60           sym.semcount
0x80005b58    6 276          sym.printDateTZ
0x80003e50    7 176          sym.tarGetFile
0x80002288    1 72           sym.getitem
0x8000249c    1 12           sym.gettid
0x8000409c    4 164          sym.loopbackClose
0x80011318    1 52           sym.atol
0x800054e8   12 384          sym.uartWrite
0x8000b74c    1 156          sym.test_preempt
0x800043b4    7 176          sym.loopbackRead
0x80011bac    1 16           sym.labs
0x80008870   13 484          sym.xsh_tar
0x8000cdcc    1 48           sym.test_udp
0x80005dfc    5 192          sym.mailboxFree
0x80003ad0   24 632          sym.hexdump
0x80004b18    1 64           sym.ttyInit
0x8000b7e8    1 48           sym.test_tlb
0x80011cc4   14 284          sym.qsort
0x80011b54    1 88           sym.fscanf
0x8000cdfc   96 5600 -> 4112 sym.test_libStdio
0x80011944   10 188          sym.fgets
0x80004210    4 232          sym.loopbackPutc
0x8000537c   12 364          sym.uartRead
0x80004ae4    3 52           sym.ttyGetc
0x800038c0    3 48           sym.getc
0x80006108   58 1568         sym.shell
0x80011c14    4 44           sym.memcpy
0x8000b2b8    1 48           sym.test_snoop
0x80001774    1 16           sym.enable_irq
0x8000581c    1 24           sym.get_datetime
0x80005c6c    1 16           sym.printDate
0x800121fc    6 96           sym.malloc
0x8000254c    1 48           sym.userret
0x80002324    6 88           sym.getlast
0x8000279c    6 212          sym.sleep
